HS6 ID,Trade Value,Trade Value Relatedness,Trade Value RCA,pci,participacao_brasil,dcr_bloco,dcr,imp_total,exp_brasil,imp_brasil
852380,162793.0,0.1039040018,0.0057899695,0.6260307693,0.0,0.57731954821516,0.11149894878056084,1957040726.0,162792.99999999997,2478756.0
852411,358623.0,0.0626110302,0.001890483,1.3460526654,0.004,0.08162874201010145,0.2803028443987596,13204007656.0,358623.0,42043263.0
852412,4510.0,0.0623382097,1.95959e-05,1.4968210083,0.002,0.004182136530489719,0.0001992123416547016,16019633968.0,4510.0,36252.00000000001
852491,6367251.0,0.0635090518,0.0156177324,0.3067651343,0.0,0.6736020364862737,3.317228005885582,28377517865.0,6367251.0,1069332757.9999999
852492,73772.0,0.0636078797,0.0001597981,-0.4722194702,0.0,0.12585385514768282,0.2447985650678629,32133680229.999996,73772.0,89357802.0
852499,47000.0,0.0661297127,0.0044895741,-0.4815709733,0.002,0.9156989508655002,0.23098276505105378,728673761.0,47000.0,1911947.0
852550,760096.0,0.098596253,0.0261052954,0.3854106238,0.008,1.1769745739954336,0.4691962257235391,2026656980.0,760096.0,10801844.0
852560,1498296.0,0.1000835017,0.0402720992,0.6861678736,0.005,1.863163365292895,0.3222760364113754,2589606431.0,1498296.0,9480362.0
852581,86414.0,0.0993907062,0.0032150087,0.4944107757,0.002,1.6465979371891657,0.13472526767420995,1870864654.0,86414.0,2863219.0
852583,68386.0,0.0857614034,0.0036579362,-0.4399601932,0.0,3.3446727682325603,0.08318745419500564,1301282193.0,68386.0,1229681.0
852589,9306975.0,0.0922224019,0.017709377,0.3491327531,0.003,0.684394516700145,0.5021063812521271,36580166394.0,9306975.0,208643356.0
852610,1474668.0,0.1016661131,0.0149042149,0.920783599,0.003,0.37714209627014017,0.45637774330805925,6886928357.0,1474668.0,35703695.0
852691,11462681.0,0.0965811057,0.0814881701,0.4633594583,0.016,1.1909049101640905,2.2392178133364586,9791112807.0,11462681.0,249052862.0
852692,2441906.0,0.1006203437,0.0374791559,0.1338869092,0.021,0.9837441847827517,1.2181766792302333,4535023629.0,2441906.0,62755671.0
852713,23078.0,0.0768683339,0.002628282,0.6028859259,0.0,4.59898330973573,2.537932865481425,611176469.0,23077.999999999996,17620162.0
852719,16054.0,0.0983722633,0.00222961,0.008565223,0.0,2.4737458310371885,0.7529627603700567,501181185.0,16054.000000000002,4286782.000000001
852721,38392446.0,0.1002573038,0.4764389253,0.2595927733,0.352,1.1288944130781595,3.2661561601688462,5608916297.0,38392446.0,208103338.0
852729,2267805.0,0.1003835652,0.1199909645,0.5952664875,0.081,1.3224674875900695,1.0448927146527733,1315520371.0,2267805.0,15614656.0
852791,44058.0,0.0668510193,0.0015228532,-0.1729747648,0.0,4.88580785063155,1.3497810518372109,2013757410.0,44058.0,30876895.0
852799,92458.0,0.0685429036,0.0083018219,0.3103180451,0.0,2.9386396365707443,2.713668788674336,775195955.0,92458.00000000001,23896345.0
