,ano,cnae_2,Engenheiros,Pesquisadores,Profissionais Científicos,Total Técnicos,Total Contratados,Potec
127,2006,18113.0,11.0,0.0,60.0,71.0,17166,0.004136082954677852
128,2006,18121.0,36.0,0.0,72.0,108.0,4840,0.02231404958677686
129,2006,18130.0,13.0,1.0,66.0,80.0,39784,0.0020108586366378444
130,2006,18211.0,17.0,4.0,97.0,118.0,19365,0.006093467596178673
131,2006,18229.0,6.0,0.0,44.0,50.0,15431,0.003240230704426155
132,2006,18300.0,13.0,0.0,53.0,66.0,4690,0.014072494669509595
133,2006,19101.0,2.0,0.0,0.0,2.0,240,0.008333333333333333
134,2006,19217.0,1202.0,0.0,75.0,1277.0,14485,0.08816016568864342
135,2006,19225.0,12.0,0.0,10.0,22.0,1770,0.012429378531073447
136,2006,19314.0,312.0,4.0,153.0,469.0,80290,0.005841325196163906
137,2006,19322.0,3.0,1.0,5.0,9.0,748,0.012032085561497326
138,2006,20118.0,31.0,0.0,22.0,53.0,1459,0.0363262508567512
139,2006,20126.0,127.0,6.0,42.0,175.0,2738,0.06391526661796933
140,2006,20134.0,267.0,8.0,184.0,459.0,18201,0.025218394593703643
141,2006,20142.0,114.0,5.0,64.0,183.0,4498,0.040684748777234325
142,2006,20193.0,107.0,104.0,58.0,269.0,6047,0.044484868529849515
143,2006,20215.0,409.0,5.0,85.0,499.0,5669,0.08802257893808432
144,2006,20223.0,31.0,1.0,30.0,62.0,1335,0.04644194756554307
145,2006,20291.0,286.0,25.0,165.0,476.0,11683,0.04074295985620132
146,2006,20312.0,436.0,4.0,138.0,578.0,9920,0.058266129032258064
147,2006,20321.0,48.0,0.0,30.0,78.0,1580,0.049367088607594936
148,2006,20339.0,54.0,16.0,8.0,78.0,992,0.07862903225806452
149,2006,20401.0,50.0,0.0,43.0,93.0,3964,0.023461150353178608
150,2006,20517.0,257.0,14.0,137.0,408.0,5290,0.07712665406427222
151,2006,20525.0,4.0,1.0,4.0,9.0,1042,0.008637236084452975
152,2006,20614.0,64.0,4.0,151.0,219.0,18038,0.012141035591528994
153,2006,20622.0,41.0,0.0,118.0,159.0,15756,0.010091393754760092
154,2006,20631.0,150.0,10.0,893.0,1053.0,35370,0.029770992366412213
155,2006,20711.0,110.0,8.0,369.0,487.0,22320,0.02181899641577061
156,2006,20720.0,8.0,1.0,23.0,32.0,1736,0.018433179723502304
157,2006,20738.0,24.0,0.0,39.0,63.0,2627,0.02398172820708032
158,2006,20916.0,21.0,1.0,30.0,52.0,3840,0.013541666666666667
159,2006,20924.0,100.0,1.0,20.0,121.0,6777,0.01785450789434853
160,2006,20932.0,124.0,2.0,117.0,243.0,14222,0.017086204471944873
161,2006,20941.0,38.0,0.0,6.0,44.0,368,0.11956521739130435
162,2006,20991.0,623.0,56.0,548.0,1227.0,43585,0.02815188711712745
163,2006,21106.0,31.0,11.0,135.0,177.0,5866,0.030173883395840435
164,2006,21211.0,293.0,240.0,887.0,1420.0,67738,0.020963122619504563
165,2006,21220.0,20.0,4.0,74.0,98.0,6715,0.014594192107222636
166,2006,21238.0,4.0,5.0,19.0,28.0,3184,0.008793969849246231
167,2006,22111.0,440.0,5.0,125.0,570.0,22871,0.02492239080057715
168,2006,22129.0,5.0,0.0,11.0,16.0,16013,0.0009991881596203085
169,2006,22196.0,291.0,3.0,121.0,415.0,51746,0.008019943570517527
170,2006,22218.0,72.0,0.0,40.0,112.0,14977,0.007478133137477466
171,2006,22226.0,225.0,1.0,187.0,413.0,96923,0.00426111449294801
