hs_product_code,hs_product_name_short_en,export_value,import_value,pci,density,cog,rca,rcd,import_value_total,import_value_standarized,import_value_total_standarized,export_value_standarized,eci_standarized,pci_standarized,rca_standarized,rcd_standarized,coi_standarized,cog_standarized,density_standarized,pgi,pei,pei_standarized,pgi_standirized,pei_inverted
8429,"Self-propelled bulldozers, excavators and road rollers",2090135753.0,443818051.0,2.135172961299234,0.1523630967203575,0.0,2.657235217731188,0.7394753417881811,51602805462.0,0.0362160685512832,0.0632309155919399,0.0408805204672814,0.0,0.741848971119959,0.0631332366543313,0.0242626590672542,0.0,0.2732592967432308,0.2110259715297471,0.3409622245762591,9452.895875868582,0.0865895104107297,0.6590377754237409,0.9134104895892703
8430,"Other moving, excavating or boring machinery",18244019.0,128225302.0,-0.2148198663153977,0.1507890302165419,0.2598641140591208,0.1138771744503762,1.048945989512538,10510240454.0,0.01046333360434,0.0128698607147951,0.0003568308857759,0.0,0.5044121967794963,0.002705607149916,0.0344165890129118,0.0,0.4247937145069653,0.2070836701079831,0.33208788276173334,3955.589429341317,0.0344765102905974,0.6679121172382667,0.9655234897094026
8431,Parts for use with hoists and excavation machinery,138466300.0,1352209352.0,2.883776591641474,0.120566815260125,0.95352221626954,0.1547542392816905,1.9806403934296557,58698952549.0,0.1103418540038569,0.0719276093319176,0.002708232899731,0.0,0.8174858110112718,0.003676805104282,0.0649860784869568,0.0,0.8292861817571333,0.1313911369762952,0.3246895210041344,5779.100634010304,0.0517629105581336,0.6753104789958656,0.9482370894418664
8432,Machinery for soil preparation or cultivation,187046269.0,63774356.0,1.9006260956207293,0.1591610874916906,0.0,1.173162475435417,0.5242258403513037,10459711486.0,0.0052040615371679,0.0128079348620322,0.0036583981768686,0.0,0.7181510046564195,0.0278731606827356,0.017200185212304,0.0,0.2732592967432308,0.2280517633994058,0.3178934779585341,2461.3729431768384,0.0203117361997909,0.6821065220414659,0.9796882638002091
8433,Harvesting or agricultural machinery,402271654.0,319069316.0,2.435628348998911,0.1528431331129004,0.0,1.0211546562470346,1.0615008871057483,25843821221.0,0.0260364268529201,0.0316619536960846,0.0078679456878101,0.0,0.7722061523208213,0.0242616077580672,0.0348285232353454,0.0,0.2732592967432308,0.2122282384912974,0.31263500147716505,3628.0728665935767,0.0313717405565761,0.687364998522835,0.9686282594434239
8434,Dairy machinery,3189446.0,22057249.0,2.046240680826131,0.130034778909797,0.733047878739918,0.0990123309955827,0.8974052514545221,2113269025.0,0.0017998971426169,0.0025789397451414,6.238169568418891e-05,0.0,0.7328634995210058,0.0023524334175347,0.0294444404441568,0.0,0.7007211026950992,0.1551039638910626,0.32204861765699866,1099.1830512419692,0.0073985390381357,0.6779513823430013,0.9926014609618643
8435,Machines for wine and juice production,1597920.0,5837226.0,1.4176018886539323,0.1300162661825886,0.5878238755705296,0.2702497724628466,1.2938384163792558,387898870.0,0.0004763244227876,0.0004644097555331,3.1253377284857355e-05,0.0,0.6693475750106488,0.0064208628302178,0.042451666216232,0.0,0.6160367096796582,0.1550575981558046,0.3331298921931087,1204.808918771554,0.0083998441137761,0.6668701078068913,0.9916001558862239
8436,Other agricultural machinery,93010597.0,138599324.0,2.4495197813586387,0.1400185587721219,0.7902105806663198,0.7312881561173727,1.4281717857161655,8343969562.0,0.0113098658511875,0.0102149841635374,0.0018191744765262,0.0,0.7736097042175352,0.0173746712050909,0.0468592300082788,0.0,0.7340543575986543,0.1801086695057335,0.3112139156443722,2355.5308332345157,0.0193083812037048,0.6887860843556278,0.9806916187962952
8437,Machinery for processing grain,31469794.0,30673888.0,1.056126792551611,0.136534197752943,0.5513540637199457,0.9996941431185672,1.2770423637232895,2065168876.0,0.0025030248950878,0.0025199905351586,0.0006155110049055,0.0,0.6328251312761871,0.0237517275468528,0.0419005769827737,0.0,0.594770088373594,0.1713819725291122,0.3574758065845514,7377.828887200152,0.0669184283487004,0.6425241934154486,0.9330815716512996
8438,Machinery for the industrial preparation of food or drink,86881765.0,253349386.0,2.0259738160447798,0.1277829274164862,0.7388274010784033,0.4076731430473469,1.5579967667708083,13981229100.0,0.0206736042171514,0.0171237360726639,0.0016993019554917,0.0,0.7308157915692488,0.0096859039221972,0.0511188706963976,0.0,0.7040913123744381,0.1494641276311832,0.32298379703633784,1375.0514441088394,0.0100136978855552,0.6770162029636622,0.9899863021144448
