,hs_product_code,import_total_2013
439,3917,22022012742
440,3918,6072229143
441,3919,17990184576
442,3920,51961903117
443,3921,23153381669
444,3922,3679120790
445,3923,47441301670
446,3924,15145001746
447,3925,9620678721
448,3926,65704639916
449,4001,24293718046
450,4002,23806688203
451,4003,329234163
452,4004,234298578
453,4005,10071786799
454,4006,627090989
455,4007,609399445
456,4008,4116149086
457,4009,9509775887
458,4010,6063118998
459,4011,84704804758
460,4012,2935579201
461,4013,1414565127
462,4014,1266672166
463,4015,6907822907
464,4016,24983698423
465,4017,283816578
466,4101,6372040928
467,4102,1427843793
468,4103,729448803
469,4104,15968367070
470,4105,1249416744
471,4106,1161214608
472,4107,1221478126
473,4108,191457788
474,4109,536648372
475,4110,80195620
476,4111,183612592
477,4201,1363575634
478,4202,54852439917
479,4203,8719957958
480,4205,2429808970
481,4206,41092951
482,4301,3590366915
483,4302,1791483379
484,4303,3684859098
485,4304,56131687
486,4401,7893932544
487,4402,1011105179
488,4403,17600603307
489,4404,224982635
490,4405,86825476
491,4406,281009839
492,4407,34341071234
493,4408,2654389457
494,4409,4656252504
495,4410,7701449628
496,4411,9575872036
497,4412,13864871013
498,4413,297289662
499,4414,918682761
500,4415,2945335213
501,4416,746731249
502,4417,273611547
503,4418,15306092097
504,4419,927249729
505,4420,1584669576
506,4421,5848331056
507,4501,143036890
508,4502,33575860
509,4503,695923418
510,4504,830768150
511,4601,584223506
512,4602,1615590068
513,4701,362662295
514,4702,4285901389
515,4703,29003408547
516,4705,1815837278
517,4706,875936091
518,4707,9569910750
519,4801,7361766324
520,4802,21812213267
521,4803,3468977158
522,4804,12341900789
523,4805,11477291107
524,4806,1571744445
525,4807,843282843
526,4808,1722806814
527,4809,1073086692
528,4810,30421532925
529,4811,14587187123
530,4812,158793740
531,4813,2151152232
532,4814,2306705670
533,4816,518849261
534,4817,1103770855
535,4818,24635950892
536,4819,20846059371
537,4820,4415471888
538,4821,4315291829
539,4822,398316987
540,4823,11299484066
541,4901,15823547435
542,4902,5148035935
543,4903,1011920443
544,4904,107876307
545,4905,272731289
546,4906,200575257
547,4907,4186934498
548,4908,1066740411
549,4909,1330309390
550,4910,518628183
551,4911,11508859572
552,5001,5838809
553,5005,111059805
